rating,review
1.0,Yaxshi
5.0,"Rahmat! ♡ Gurme food  yaxshi atmosfera, mukammal xizmat ....."
4.0,"Hammasi yaxshi edi! ayniqsa, ofitsiant spirtli ichimliklarni (pivoni) tavsiy qilishni Xitoy tilida yaxshi gapirdi! Black cod eng mazali taom edi! Birgina kamchilik-bu idishlar sekin xizmat qilingan."
5.0,O'zbekistondagi eng yaxshi tajriba!
1.0,Topilmadi
4.0,"Ajoyib, hamma narsa juda qulay interyer bilan tartibga solingan"
5.0,"Juda ajoyib joy, hamma narsa juda chiroyli, joy yaxshi, mazali, zo'r,va yana wi-fi tarmog'i mehmonlarga qulaylik yaratish uchun emas, balki shunchaki ko'rgazma uchun "
5.0,"Biz o'tgan yilning 30 dekabrida Nobilega bordik. O'sha oqshomdan biz ajoyib xotirani saqlab qolamiz. Bizning kompaniyamizdan boshlab hamma narsa mukammal edi, 3 nafar kattalar va bir boladan iborat kichik guruh, ularning ba'zilari dengiz mahsulotlari va sharobni yaxshi ko'radilar.. Ofitsiant bir nechta real va qimmatli takliflarni berib, juda yaxshi ish qildi. Kroner va DJ bilan musiqiy muhit o'zini qulay va bo'shashtirishga yordam beradi. Yaxshiyamki, biz qoniqarli ovqatlanishga, to'g'ri sharob ichishga va ""oddiy odamlar"" byudjetiga mos ravishda hisob-kitob qilishga muvaffaq bo'ldik. Bola aytganidek: ""Eng yaxshi oqshom""."
1.0,Ovqat juda sekin keltirildi. Xizmat yaxshi emas edi. Ofitsiant kiyimga qaraganida bizga yaxshi qaramadi. U ovqatdan keyin bizga ichimlik olib keldi.
3.0,"Wi-Fi qulaylik uchun emas, balki faqat ko'rgazma uchun yaratilgan."
5.0,Ajoyib
5.0,"Yaxshi, mazali, qimmat, bir darajada !!!"
4.0,"Birinchi Milliy taomlardan biri - keng assortimentli taomlar! Gastro-turistlar uchun juda jozibali joy - bu yerda barcha turdagi milliy taomlar mavjud. Yagona salbiy tomoni shundaki, bunday yirik muassasa uchun to'xtash joyi kichik. Narxlar nisbatan arzon! Turistlar uchun juda arzon!"
1.0,Hizmat dabdala. So’raganing o’rniga boshqa olib keladi. Xizmat nol.
4.0,"Restoranga kirishingiz bilan siz kuchli hidga duch kelishingiz mumkin. O‘zbekiston milliy restoranlaridagi bu mashhur hidga o‘rganmagan bo‘lsangiz, bu sizni bezovta qilishi mumkin. Buyurtmangiz biroz vaqt olishi mumkin, chunki u odatda tushlik vaqtida band. Ammo lazanya biroz yog'li bo'lsa-da, yaxshi edi. Lazzat 7,5/10"
5.0,Mazali!
5.0,"bir xil sarguzasht, lekin kulgili: birinchi navbatda, hech kim ingliz tilida gapirmaydi. Ikkinchidan, biz menyuni so'raymiz, lekin ular tushunishmadi. Shunday qilib, biz tayyorlov maydoniga chiqdik va ot, sigir va qo'y tovushlariga taqlid qilib, hech bo'lmaganda qanday go'sht ekanligini bilib oldik. Biz ofitsiant bilan juda xursand bo'ldik. Oxirida biz 2 marta otga buyurtma berdik: ot kolbasa solingan bulyonda BESHBARMAK noodle xamiri - juda sho'r, ot bilan aralashtirilgan NORIN sovuq kesilgan mini noodle - juda mazali, qo'y sho'rva - juda qizg'in, go'sht bilan aralashtirilgan HALEEM bug'doy - jigarrang jo'xori uniga o'xshaydi - shilimshiq, lekin juda mazali. aralashgan narsa - kartoshka, qo'y go'shti va shishkebap va nihoyat bir xil tsatziki. Biz 240.000 to'ladik, bu juda mazali, g'ayrioddiy, kulgili edi. Shunday qilib, agar siz u erga borsangiz, hayvonlarning barcha tovushlarini bilishingizga ishonch hosil qiling yoki oflayn tarjimonni yuklab oling ;-)"
1.0,Xizmt ko'rsatish sifati judayam past.
5.0,"Ovqat ajoyib, keng va yaxshi restoran edi"
2.0,"Men bu erda bir necha marta bo'lganman va har doim suvarak bilan uchrashganman, taom mazali, lekin bu tarakanlar mening do'stlarim emas. Va bundan tashqari, narx juda yuqori."
5.0,"Agar siz mahalliy taomlarni tatib ko'rmoqchi bo'lsangiz, bu joy shart! Men O‘zbekistonda ikki haftadan ko‘proq vaqt davomida sayohat qilyapman va bir muncha vaqtdan beri ro‘yxatimda bir nechta an’anaviy taomlar bor edi, faqat shu yerda topdim!"
1.0,Hamma narsa izohsiz aniq. Yaxshi tarakan bo'lsin))
5.0,"Juda, juda mazali. Biz oziq-ovqatdan shokda edik. Og‘zimda go‘sht erib ketdi. Men hammaga tavsiya qilaman. Bundan mazaliroq joy topish qiyin."
5.0,Yaxshi va arzon ovqatlanish uchun eng yaxshi joy. Bu yerda milliy taomlarni tatib ko'rish tavsiya etiladi!
1.0,"Biz go'sht (shavla) buyurdik, ular buyurtma keltirishdi, go'sht g'alati rangdagi uchlamchi ,+ sho'rvada go'shtdan ko'ra ko'proq yog ' ham bor. AJOYIB, TAVSIYA QILMAYMAN."
1.0,Xizmat 0. Men tavsiya qilmayman
1.0,"Men ofitsiantni 10 daqiqa kutdim, xuddi men yo'qdek o'tib ketgan kishiga o'girildim. Hech qanday forma yo'q, siz ofitsiant kim mehmon ekanligini tushunmaysiz. Zalda barbekyudan tutun bor. Natijada, men tushlik uchun boshqa joyga jo'nab ketdim."
5.0,Milliy taomlar
5.0,"Aql bovar qilmaydigan joy, ajoyib joy, mazali o'zbek oshxonasi, taomlarning katta tanlovi."
5.0,"O‘zbekiston milliy taomlari qaysi muassasada tayyorlanishidan qat’i nazar, juda xilma-xil va mazali. Bu joy mazali va arzon."
5.0,"Ovqatlanish xonasi mahalliy aholi bilan to'la. Men do'kon peshtaxtasida turli xil taomlar tayyorlayman, shuning uchun uni ko'rsatib, buyurtma bersam, yaxshi bo'ladi."
5.0,"Ajoyib!! Haqiqiy, hammasi mazali"
5.0,Men hozirgacha yegan eng go'zal O'zbekiston taomlari.. ajoyib! )
1.0,"Menga hech narsa yoqmadi. Xizmat dahshatli, oziq-ovqat bir xil oshxona bilan solishtirganda o'rtacha. Ovqatlanish so'zi."
5.0,Ajoyib
5.0,Go'sht yeyuvchilar uchun ajoyib joy
5.0,Juda yaxshi va mashhur restoran
5.0,taom juda mazali edi !!! Garchi mening xodimlarim ingliz tilida gapira olmasalar ham..lekin men uchun bu yaxshi edi.
4.0,Juda yaxshi ovqat. Juda yaxshi xizmat. Toshkentda bo'lganimda ikki marta ovqatlandim. Men bu yerda birinchi marta norinni ko'rganman
4.0,"Toshkent shahridagi mashhur restoran. Turlari ko'p, ta'mi yomon emas, narxi ham o'rtacha. Bu sizning hamyoningiz va oshqozoningizga mehribon restoran. Biroq, biz diqqatga sazovor joylarga sayohatga chiqmaymiz deb o'ylamayman. Agar siz bormoqchi bo'lsangiz, joylashuv haqida oldindan so'rang."
3.0,"Ofitsiantlarning umuman vaqti yo'q, odamlar ko'p, unchalik mazali emas..."
5.0,"Turli xil taomlar, mazali, tez ..."
1.0,"Bu yerga iliq kutib olishni kutmang. Kutish xodimlari sayyohga o‘xshagan har qanday odamga e’tibor bermaslik uchun qo‘lidan kelgan barcha ishni qilishdi – biz kimningdir e’tiborini tortishga harakat qilib, qariyb 20 daqiqa o‘tirdik, hamma esa bizni o‘rab olishdi. Ular o'tirgandan so'ng darhol bir nechta stollarga tashrif buyurishdi, holbuki biz menyuni deyarli boshimizdan silkitganimizda ham ko'z bilan aloqa qilishdan qo'rqardi. Sayohatimiz davomida biz o'rtacha miqdordagi ""mahalliy"" joylarda ovqatlandik - barchasi mehmondo'st va samimiy edi, bu erdan tashqari. Oxiri chiqib ketdik."
5.0,"Haqiqatan ham milliy, lekin biroz qimmat"
4.0,"Mazali, qimmat emas. Mahalliy aholi u erda mahalliy oshxonani tatib ko'rishni tavsiya qiladi."
3.0,"Ovqat mazali, xizmat qilish dahshatli. Xizmat 0 ga teng"
5.0,"Menga juda yoqdi, men mahalliy aholi bilan yaxshi ovqatlanishni yaxshi ko'radigan sayyohlarga maslahat beraman."
